id,zip,lat,lng,city,state_id,state_name,county_name,county_names_all,timezone
53,719,18.2888,-66.25336,Naranjito,PR,Puerto Rico,Naranjito,Naranjito|Corozal|Toa Alta,America/Puerto_Rico
54,720,18.21772,-66.42816,Orocovis,PR,Puerto Rico,Orocovis,Orocovis|Coamo,America/Puerto_Rico
55,723,18.03237,-66.01233,Patillas,PR,Puerto Rico,Patillas,Patillas,America/Puerto_Rico
56,725,18.21857,-66.04275,Caguas,PR,Puerto Rico,Caguas,Caguas|Guaynabo|Aguas Buenas|San Juan|Cayey|San Lorenzo,America/Puerto_Rico
57,727,18.21496,-66.07356,Caguas,PR,Puerto Rico,Caguas,Caguas,America/Puerto_Rico
58,728,18.00627,-66.6612,Ponce,PR,Puerto Rico,Ponce,Ponce,America/Puerto_Rico
59,729,18.33113,-65.88722,Canovanas,PR,Puerto Rico,Canóvanas,Canóvanas|Loíza,America/Puerto_Rico
60,730,18.03091,-66.61659,Ponce,PR,Puerto Rico,Ponce,Ponce,America/Puerto_Rico
61,731,18.09776,-66.63356,Ponce,PR,Puerto Rico,Ponce,Ponce|Adjuntas,America/Puerto_Rico
62,735,18.25365,-65.68306,Ceiba,PR,Puerto Rico,Ceiba,Ceiba|Naguabo,America/Puerto_Rico
63,736,18.10652,-66.15258,Cayey,PR,Puerto Rico,Cayey,Cayey|Cidra,America/Puerto_Rico
64,738,18.31828,-65.66785,Fajardo,PR,Puerto Rico,Fajardo,Fajardo,America/Puerto_Rico
65,739,18.17681,-66.16055,Cidra,PR,Puerto Rico,Cidra,Cidra,America/Puerto_Rico
66,740,18.3322,-65.63429,Puerto Real,PR,Puerto Rico,Fajardo,Fajardo,America/Puerto_Rico
67,741,18.16564,-65.75563,Punta Santiago,PR,Puerto Rico,Humacao,Humacao,America/Puerto_Rico
68,745,18.34827,-65.8172,Rio Grande,PR,Puerto Rico,Río Grande,Río Grande|Canóvanas,America/Puerto_Rico
69,751,18.01021,-66.24751,Salinas,PR,Puerto Rico,Salinas,Salinas,America/Puerto_Rico
70,754,18.1457,-65.97606,San Lorenzo,PR,Puerto Rico,San Lorenzo,San Lorenzo,America/Puerto_Rico
71,757,17.99728,-66.38891,Santa Isabel,PR,Puerto Rico,Santa Isabel,Santa Isabel,America/Puerto_Rico
72,765,18.12852,-65.44088,Vieques,PR,Puerto Rico,Vieques,Vieques,America/Puerto_Rico
73,766,18.13299,-66.47703,Villalba,PR,Puerto Rico,Villalba,Villalba|Orocovis,America/Puerto_Rico
74,767,18.07052,-65.89606,Yabucoa,PR,Puerto Rico,Yabucoa,Yabucoa|Humacao,America/Puerto_Rico
75,769,18.097,-66.36102,Coamo,PR,Puerto Rico,Coamo,Coamo,America/Puerto_Rico
76,771,18.18746,-65.86932,Las Piedras,PR,Puerto Rico,Las Piedras,Las Piedras,America/Puerto_Rico
77,772,18.43267,-65.90836,Loiza,PR,Puerto Rico,Loíza,Loíza,America/Puerto_Rico
78,773,18.34174,-65.7274,Luquillo,PR,Puerto Rico,Luquillo,Luquillo,America/Puerto_Rico
79,775,18.31347,-65.29017,Culebra,PR,Puerto Rico,Culebra,Culebra,America/Puerto_Rico
80,777,18.22357,-65.90881,Juncos,PR,Puerto Rico,Juncos,Juncos|Las Piedras|Canóvanas|Gurabo,America/Puerto_Rico
81,778,18.26339,-65.97936,Gurabo,PR,Puerto Rico,Gurabo,Gurabo|San Lorenzo,America/Puerto_Rico
82,780,18.10416,-66.57175,Coto Laurel,PR,Puerto Rico,Ponce,Ponce|Juana Díaz,America/Puerto_Rico
83,782,18.22544,-66.22218,Comerio,PR,Puerto Rico,Comerío,Comerío,America/Puerto_Rico
84,783,18.3041,-66.32847,Corozal,PR,Puerto Rico,Corozal,Corozal,America/Puerto_Rico
85,784,18.00544,-66.13392,Guayama,PR,Puerto Rico,Guayama,Guayama,America/Puerto_Rico
86,786,18.15536,-66.22992,La Plata,PR,Puerto Rico,Aibonito,Aibonito,America/Puerto_Rico
87,791,18.14069,-65.818,Humacao,PR,Puerto Rico,Humacao,Humacao,America/Puerto_Rico
88,794,18.20154,-66.30873,Barranquitas,PR,Puerto Rico,Barranquitas,Barranquitas|Comerío|Coamo,America/Puerto_Rico
89,795,18.05932,-66.50178,Juana Diaz,PR,Puerto Rico,Juana Díaz,Juana Díaz,America/Puerto_Rico
90,801,18.34856,-64.97502,St Thomas,VI,Virgin Islands,St. Thomas,St. Thomas,America/St_Thomas
91,802,18.34225,-64.92657,St Thomas,VI,Virgin Islands,St. Thomas,St. Thomas,America/St_Thomas
92,820,17.74147,-64.687,Christiansted,VI,Virgin Islands,St. Croix,St. Croix,America/St_Thomas
93,823,17.73281,-64.74653,Christiansted,VI,Virgin Islands,St. Croix,St. Croix,America/St_Thomas
94,824,17.74461,-64.68276,Christiansted,VI,Virgin Islands,St. Croix,St. Croix,America/St_Thomas
95,830,18.33851,-64.73804,St John,VI,Virgin Islands,St. John,St. John,America/St_Thomas
96,831,18.32716,-64.78676,St John,VI,Virgin Islands,St. John,St. John,America/St_Thomas
97,840,17.72484,-64.85931,Frederiksted,VI,Virgin Islands,St. Croix,St. Croix,America/St_Thomas
98,841,17.73373,-64.83742,Frederiksted,VI,Virgin Islands,St. Croix,St. Croix,America/St_Thomas
99,850,17.72819,-64.7939,Kingshill,VI,Virgin Islands,St. Croix,St. Croix,America/St_Thomas
100,851,17.73267,-64.77158,Kingshill,VI,Virgin Islands,St. Croix,St. Croix,America/St_Thomas
101,901,18.46532,-66.10485,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
102,906,18.46446,-66.09499,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
103,907,18.45313,-66.07778,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
104,909,18.44153,-66.06723,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
105,911,18.45135,-66.05631,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
106,912,18.44534,-66.06018,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
107,913,18.45022,-66.04266,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
108,915,18.43691,-66.04562,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
109,917,18.4214,-66.05005,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
110,918,18.42138,-66.06589,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
111,920,18.41573,-66.08887,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
112,921,18.39225,-66.08854,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
113,923,18.40955,-66.03866,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
114,924,18.39826,-66.01288,San Juan,PR,Puerto Rico,San Juan,San Juan|Carolina,America/Puerto_Rico
115,925,18.40033,-66.05053,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
116,926,18.3462,-66.05234,San Juan,PR,Puerto Rico,San Juan,San Juan|Trujillo Alto|Guaynabo,America/Puerto_Rico
117,927,18.38874,-66.07191,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
118,934,18.41138,-66.124,Fort Buchanan,PR,Puerto Rico,Guaynabo,Guaynabo|Bayamón,America/Puerto_Rico
119,936,18.39548,-66.07376,San Juan,PR,Puerto Rico,San Juan,San Juan,America/Puerto_Rico
120,949,18.43017,-66.20884,Toa Baja,PR,Puerto Rico,Toa Baja,Toa Baja|Cataño,America/Puerto_Rico
121,950,18.46208,-66.2376,Toa Baja,PR,Puerto Rico,Dorado,Dorado,America/Puerto_Rico
122,951,18.42839,-66.25661,Toa Baja,PR,Puerto Rico,Toa Baja,Toa Baja,America/Puerto_Rico
123,952,18.42748,-66.18207,Sabana Seca,PR,Puerto Rico,Toa Baja,Toa Baja,America/Puerto_Rico
124,953,18.36312,-66.2475,Toa Alta,PR,Puerto Rico,Toa Alta,Toa Alta|Toa Baja|Corozal,America/Puerto_Rico
125,956,18.32082,-66.17175,Bayamon,PR,Puerto Rico,Bayamón,Bayamón|Toa Alta,America/Puerto_Rico
126,957,18.36734,-66.18869,Bayamon,PR,Puerto Rico,Bayamón,Bayamón|Toa Alta,America/Puerto_Rico
127,959,18.38482,-66.15585,Bayamon,PR,Puerto Rico,Bayamón,Bayamón|Guaynabo|Toa Alta|Toa Baja,America/Puerto_Rico
128,960,18.41701,-66.14444,Bayamon,PR,Puerto Rico,Bayamón,Bayamón,America/Puerto_Rico
129,961,18.41011,-66.16537,Bayamon,PR,Puerto Rico,Bayamón,Bayamón|Cataño,America/Puerto_Rico
130,962,18.43903,-66.13928,Catano,PR,Puerto Rico,Cataño,Cataño,America/Puerto_Rico
131,965,18.43385,-66.11486,Guaynabo,PR,Puerto Rico,Guaynabo,Guaynabo|Cataño,America/Puerto_Rico
132,966,18.40226,-66.11758,Guaynabo,PR,Puerto Rico,Guaynabo,Guaynabo|San Juan|Bayamón,America/Puerto_Rico
133,968,18.40611,-66.10124,Guaynabo,PR,Puerto Rico,Guaynabo,Guaynabo,America/Puerto_Rico
134,969,18.36751,-66.10852,Guaynabo,PR,Puerto Rico,Guaynabo,Guaynabo|San Juan|Bayamón,America/Puerto_Rico
135,971,18.32131,-66.11811,Guaynabo,PR,Puerto Rico,Guaynabo,Guaynabo|Bayamón|San Juan,America/Puerto_Rico
